prop_t_mod,replica,network,population,sigma,true_model,net_size,colab_cond,RR
0,1,Lattice,All,0.2,13,413,COLAB,0.35451505016722407
0,2,Lattice,All,0.2,13,413,COLAB,0.39153846153846156
0,3,Lattice,All,0.2,13,413,COLAB,0.392
0,4,Lattice,All,0.2,13,413,COLAB,0.396
0,5,Lattice,All,0.2,13,413,COLAB,0.3826491092176607
0,6,Lattice,All,0.2,13,413,COLAB,0.34099264705882354
0,7,Lattice,All,0.2,13,413,COLAB,0.3731911652703732
0,8,Lattice,All,0.2,13,413,COLAB,0.41025641025641024
0,9,Lattice,All,0.2,13,413,COLAB,0.38772077375946173
0,10,Lattice,All,0.2,13,413,COLAB,0.3919141914191419
0,11,Lattice,All,0.2,13,413,COLAB,0.4177215189873418
0,12,Lattice,All,0.2,13,413,COLAB,0.45768282662284304
0,13,Lattice,All,0.2,13,413,COLAB,0.3902027027027027
0,14,Lattice,All,0.2,13,413,COLAB,0.4061776061776062
0,15,Lattice,All,0.2,13,413,COLAB,0.4064
0,16,Lattice,All,0.2,13,413,COLAB,0.3796664019062748
0,17,Lattice,All,0.2,13,413,COLAB,0.34523809523809523
0,18,Lattice,All,0.2,13,413,COLAB,0.3382218148487626
0,19,Lattice,All,0.2,13,413,COLAB,0.3889830508474576
0,20,Lattice,All,0.2,13,413,COLAB,0.36764705882352944
0,21,Lattice,All,0.2,13,413,COLAB,0.43709825528007346
0,22,Lattice,All,0.2,13,413,COLAB,0.43691786621507195
0,23,Lattice,All,0.2,13,413,COLAB,0.36153846153846153
0,24,Lattice,All,0.2,13,413,COLAB,0.39709257842387147
0,25,Lattice,All,0.2,13,413,COLAB,0.3708293612964728
0,26,Lattice,All,0.2,13,413,COLAB,0.37812789620018533
0,27,Lattice,All,0.2,13,413,COLAB,0.392049883086516
0,28,Lattice,All,0.2,13,413,COLAB,0.34265734265734266
0,29,Lattice,All,0.2,13,413,COLAB,0.42109566639411283
0,30,Lattice,All,0.2,13,413,COLAB,0.38847117794486213
0,31,Lattice,All,0.2,13,413,COLAB,0.3948535936113576
0,32,Lattice,All,0.2,13,413,COLAB,0.40202702702702703
0,33,Lattice,All,0.2,13,413,COLAB,0.359717868338558
0,34,Lattice,All,0.2,13,413,COLAB,0.41025641025641024
0,35,Lattice,All,0.2,13,413,COLAB,0.4001699235344095
0,36,Lattice,All,0.2,13,413,COLAB,0.3953488372093023
0,37,Lattice,All,0.2,13,413,COLAB,0.41238012205754143
0,38,Lattice,All,0.2,13,413,COLAB,0.4074074074074074
0,39,Lattice,All,0.2,13,413,COLAB,0.4125560538116592
0,40,Lattice,All,0.2,13,413,COLAB,0.3860705073086844
0,41,Lattice,All,0.2,13,413,COLAB,0.3723214285714286
0,42,Lattice,All,0.2,13,413,COLAB,0.38761974944731026
0,43,Lattice,All,0.2,13,413,COLAB,0.3671875
0,44,Lattice,All,0.2,13,413,COLAB,0.44568690095846647
0,45,Lattice,All,0.2,13,413,COLAB,0.38421052631578945
0,46,Lattice,All,0.2,13,413,COLAB,0.41401792991035047
0,47,Lattice,All,0.2,13,413,COLAB,0.37237237237237236
0,48,Lattice,All,0.2,13,413,COLAB,0.384
0,49,Lattice,All,0.2,13,413,COLAB,0.39200680272108845
0,50,Lattice,All,0.2,13,413,COLAB,0.40644038294168844
1,1,Lattice,All,0.2,13,413,COLAB,0.8425925925925926
1,2,Lattice,All,0.2,13,413,COLAB,0.881578947368421
1,3,Lattice,All,0.2,13,413,COLAB,0.8858447488584474
1,4,Lattice,All,0.2,13,413,COLAB,0.8771929824561403
1,5,Lattice,All,0.2,13,413,COLAB,0.8626262626262626
1,6,Lattice,All,0.2,13,413,COLAB,0.9011764705882352
1,7,Lattice,All,0.2,13,413,COLAB,0.8830645161290323
1,8,Lattice,All,0.2,13,413,COLAB,0.8978723404255319
1,9,Lattice,All,0.2,13,413,COLAB,0.867579908675799
1,10,Lattice,All,0.2,13,413,COLAB,0.8708971553610503
1,11,Lattice,All,0.2,13,413,COLAB,0.896414342629482
1,12,Lattice,All,0.2,13,413,COLAB,0.919908466819222
1,13,Lattice,All,0.2,13,413,COLAB,0.8577235772357723
1,14,Lattice,All,0.2,13,413,COLAB,0.9187358916478555
1,15,Lattice,All,0.2,13,413,COLAB,0.8525641025641025
1,16,Lattice,All,0.2,13,413,COLAB,0.8690228690228691
1,17,Lattice,All,0.2,13,413,COLAB,0.8689320388349514
1,18,Lattice,All,0.2,13,413,COLAB,0.8571428571428571
1,19,Lattice,All,0.2,13,413,COLAB,0.9030837004405287
1,20,Lattice,All,0.2,13,413,COLAB,0.8652482269503546
1,21,Lattice,All,0.2,13,413,COLAB,0.9079229122055674
1,22,Lattice,All,0.2,13,413,COLAB,0.8968253968253969
1,23,Lattice,All,0.2,13,413,COLAB,0.8917050691244239
1,24,Lattice,All,0.2,13,413,COLAB,0.8779527559055118
1,25,Lattice,All,0.2,13,413,COLAB,0.9093137254901961
1,26,Lattice,All,0.2,13,413,COLAB,0.8518518518518519
1,27,Lattice,All,0.2,13,413,COLAB,0.8948497854077253
1,28,Lattice,All,0.2,13,413,COLAB,0.890625
1,29,Lattice,All,0.2,13,413,COLAB,0.9031578947368422
1,30,Lattice,All,0.2,13,413,COLAB,0.8595744680851064
1,31,Lattice,All,0.2,13,413,COLAB,0.8518518518518519
1,32,Lattice,All,0.2,13,413,COLAB,0.9130434782608695
1,33,Lattice,All,0.2,13,413,COLAB,0.8784403669724771
1,34,Lattice,All,0.2,13,413,COLAB,0.8978723404255319
1,35,Lattice,All,0.2,13,413,COLAB,0.8967495219885278
1,36,Lattice,All,0.2,13,413,COLAB,0.8702928870292888
1,37,Lattice,All,0.2,13,413,COLAB,0.8964803312629399
1,38,Lattice,All,0.2,13,413,COLAB,0.8817427385892116
1,39,Lattice,All,0.2,13,413,COLAB,0.8684807256235828
1,40,Lattice,All,0.2,13,413,COLAB,0.8582995951417004
1,41,Lattice,All,0.2,13,413,COLAB,0.8710359408033826
1,42,Lattice,All,0.2,13,413,COLAB,0.8837209302325582
1,43,Lattice,All,0.2,13,413,COLAB,0.8770053475935828
1,44,Lattice,All,0.2,13,413,COLAB,0.8752475247524752
1,45,Lattice,All,0.2,13,413,COLAB,0.9070294784580499
